
Корпус;Секция;Этаж;Номер квартиры;Кол-во комнат;Общая площадь;Стоимость;Скидка;Стоимость со скидкой;Статус;
Корпус 26;Секция 3;9;151;2;59.5;5355000;0;5355000;reserve;
Корпус 22;Секция 5;8;313;3;79.9;6152300;0;6152300;free;
Корпус 27;Секция 5;15;348;3;71.83;5272322;0;5272322;reserve;
Корпус 17;Секция 1;9;69;2;53.2;5304040;0;5304040;free;
Корпус 17;Секция 1;10;81;3;81.7;6601360;0;6601360;free;
Корпус 17;Секция 1;9;64;3;90.55;7271165;0;7271165;reserve;
Корпус 17;Секция 1;10;77;2;65.1;5865510;0;5865510;free;
Корпус 17;Секция 1;12;91;3;89.8;7094200;0;7094200;free;
Корпус 17;Секция 1;2;6;2;53.7;5251860;0;5251860;free;
Корпус 17;Секция 1;4;25;1;43.6;4721880;0;4721880;reserve;
Корпус 17;Секция 1;5;33;2;53.2;5250840;0;5250840;free;
Корпус 17;Секция 1;10;73;3;89.8;7166040;0;7166040;free;
Корпус 17;Секция 1;13;104;2;65.1;5839470;0;5839470;free;
Корпус 17;Секция 1;8;58;2;53.95;5546060;0;5546060;free;
Корпус 17;Секция 1;13;105;2;53.2;5250840;0;5250840;free;
Корпус 17;Секция 1;14;117;3;81.7;6519660;0;6519660;free;
Корпус 17;Секция 1;17;139;2;53.2;5293400;0;5293400;free;
Корпус 17;Секция 1;12;99;3;81.7;6519660;0;6519660;free;
Корпус 17;Секция 1;13;103;2;53.2;5367880;0;5367880;free;
Корпус 17;Секция 1;11;89;1;43.5;4567500;0;4567500;free;
Корпус 17;Секция 1;16;131;2;65.1;5780880;0;5780880;reserve;
Корпус 17;Секция 1;2;1;3;90.9;7117470;0;7117470;free;
Корпус 17;Секция 1;2;5;2;65.9;5851920;0;5851920;free;
Корпус 17;Секция 1;2;9;3;82.8;6557760;0;6557760;free;
Корпус 17;Секция 1;7;54;3;82.45;6653715;0;6653715;reserve;
Корпус 18;Секция 2;5;180;3;82.45;5870440;0;5870440;free;
Корпус 18;Секция 2;6;185;2;65.1;5025720;0;5025720;free;
Корпус 18;Секция 2;7;191;1;43.5;3775800;0;3775800;free;
Корпус 18;Секция 2;7;197;1;43.5;3771450;0;3771450;free;
Корпус 18;Секция 2;10;217;3;89.8;6178240;0;6178240;free;
Корпус 18;Секция 2;2;146;1;43.5;3732300;0;3732300;free;
Корпус 18;Секция 2;2;148;2;53.7;4312110;0;4312110;free;
Корпус 18;Секция 2;2;150;2;53.7;4285260;0;4285260;free;
Корпус 18;Секция 2;2;152;1;43.5;3741000;0;3741000;free;
Корпус 18;Секция 2;4;163;3;89.8;6070480;0;6070480;free;
Корпус 18;Секция 2;4;167;2;65.1;4999680;0;4999680;free;
Корпус 18;Секция 2;11;227;1;43.5;3814950;0;3814950;free;
Корпус 18;Секция 2;11;231;2;53.2;4335800;0;4335800;free;
Корпус 18;Секция 2;13;245;1;43.5;3775800;0;3775800;free;
Корпус 18;Секция 2;13;251;1;43.5;3771450;0;3771450;free;
Корпус 18;Секция 2;9;213;2;53.2;4335800;0;4335800;free;
Корпус 18;Секция 2;17;288;3;82.45;5771500;0;5771500;free;
Корпус 18;Секция 2;2;145;3;90.9;6117570;0;6117570;free;
Корпус 18;Секция 2;2;147;1;43.6;3889120;0;3889120;free;
Корпус 18;Секция 2;2;149;2;65.9;5034760;0;5034760;free;
Корпус 18;Секция 2;2;151;1;43.6;3762680;0;3762680;free;
Корпус 18;Секция 2;14;255;1;43.6;3932720;0;3932720;free;
Корпус 18;Секция 2;5;173;1;43.5;3775800;0;3775800;free;
Корпус 18;Секция 2;6;181;3;89.8;6106400;0;6106400;free;
Корпус 18;Секция 2;10;219;1;43.6;3958880;0;3958880;reserve;
Корпус 18;Секция 2;11;230;2;65.1;5064780;0;5064780;free;
Корпус 18;Секция 2;12;241;1;43.6;3801920;0;3801920;reserve;
Корпус 18;Секция 2;8;205;1;43.6;3845520;0;3845520;free;
Корпус 18;Секция 2;8;207;3;81.7;5817040;0;5817040;free;
Корпус 18;Секция 2;10;223;1;43.6;3845520;0;3845520;free;
Корпус 18;Секция 2;11;228;1;44.35;4093505;0;4093505;free;
Корпус 18;Секция 2;12;243;3;81.7;5743510;0;5743510;free;
Корпус 18;Секция 2;13;250;1;44.35;3929410;0;3929410;free;
Корпус 18;Секция 2;14;253;3;89.8;6106400;0;6106400;free;
Корпус 18;Секция 2;14;256;2;53.95;4440085;0;4440085;reserve;
Корпус 18;Секция 2;14;257;2;65.1;5025720;0;5025720;free;
Корпус 18;Секция 2;14;258;2;53.95;4413110;0;4413110;reserve;
Корпус 18;Секция 2;16;271;3;89.8;6043540;0;6043540;free;
Корпус 18;Секция 2;16;275;2;65.1;4973640;0;4973640;free;
Корпус 18;Секция 2;17;287;1;43.5;3723600;0;3723600;free;
Корпус 18;Секция 2;15;263;1;43.5;3732300;0;3732300;free;
Корпус 18;Секция 2;15;269;1;43.5;3741000;0;3741000;free;
Корпус 18;Секция 2;17;285;2;53.2;4224080;0;4224080;free;
Корпус 19а;Секция 2;10;241;3;89.8;7381560;0;7381560;free;
Корпус 19а;Секция 2;6;201;3;89.8;7309720;0;7309720;free;
Корпус 19а;Секция 2;4;181;3;89.8;7273800;0;7273800;free;
Корпус 19а;Секция 2;6;205;2;64.6;6246820;0;6246820;free;
Корпус 19а;Секция 2;9;235;2;64.6;6279120;0;6279120;free;
Корпус 19а;Секция 2;13;276;2;53.2;5490240;0;5490240;reserve;
Корпус 19а;Секция 2;13;275;2;64.6;6246820;0;6246820;free;
Корпус 19а;Секция 2;14;281;3;89.8;7309720;0;7309720;free;
Корпус 19а;Секция 2;13;271;3;90.55;7443210;0;7443210;reserve;
Корпус 19а;Секция 2;11;255;2;64.6;6279120;0;6279120;free;
Корпус 19а;Секция 2;17;316;2;53.2;5511520;0;5511520;free;
Корпус 19а;Секция 2;7;211;3;90.55;7443210;0;7443210;reserve;
Корпус 19;Секция 1;13;118;1;43.5;3732300;0;3732300;free;
Корпус 19;Секция 1;14;124;2;53.95;4574960;0;4574960;free;
Корпус 19;Секция 1;15;136;2;53.2;4458160;0;4458160;free;
Корпус 19;Секция 1;16;143;1;43.6;3849880;0;3849880;free;
Корпус 19;Секция 1;17;156;2;53.2;4436880;0;4436880;free;
Корпус 19;Секция 1;17;158;1;43.5;3684450;0;3684450;reserve;
Корпус 19;Секция 1;16;141;3;89.8;6312940;0;6312940;free;
Корпус 19;Секция 1;2;2;1;43.5;3884550;0;3884550;free;
Корпус 19;Секция 1;2;5;2;65.5;5298950;0;5298950;free;
Корпус 19;Секция 1;3;18;1;43.5;3706200;0;3706200;free;
Корпус 19;Секция 1;3;11;3;90.55;6419995;0;6419995;reserve;
